771848,alecxe,719,9
1090562,Salvador Dali,589,1
610569,alvas,417,1
4323,John Zwinck,306,13
1179880,whytheq,290,2
249341,Hooked,261,1
344286,Wayne Werner,219,3
50305,Dervin Thunk,216,2
428862,Merlin,189,117
53491,Brian Postow,144,1
