,Genre,AvgTemp,imdbRating
150,Documentary,55.1583572111,693.411111111
151,Documentary,58.5588732394,785.444444444
152,Documentary,59.5156787763,1460.1
153,Documentary,62.9375838926,3407.5
154,Documentary,63.6048262548,537.9
155,Documentary,68.8692380952,1449.33333333
156,Documentary,69.5371428571,42.0
157,Documentary,72.0241578441,8450.82222222
158,Documentary,72.4614793468,5388.9
159,Documentary,74.1365555556,
160,Documentary,74.7735099338,17460.8333333
161,Documentary,74.866572238,
162,Documentary,76.1165525114,189.8
163,Drama,33.7520225776,97264.908
164,Drama,34.9158898305,12074.0241379
165,Drama,35.5807135969,8560.65
166,Drama,41.2365924492,39787.0095238
167,Drama,42.8927815207,24848.2166667
168,Drama,46.5324324324,72048.5269231
169,Drama,47.8371014493,37905.965
170,Drama,49.3877294686,95267.3888889
171,Drama,49.6228764479,10700.2
172,Drama,54.8859073359,104750.173333
173,Drama,55.1583572111,129890.710526
174,Drama,58.5588732394,60055.3291667
175,Drama,59.5156787763,14978.1352941
176,Drama,62.9375838926,4361.54545455
177,Drama,63.6048262548,76193.99375
178,Drama,68.8692380952,7484.39090909
179,Drama,69.5371428571,47051.0066667
180,Drama,72.0241578441,107247.980952
181,Drama,72.4614793468,45633.2125
182,Drama,74.1365555556,11440.0238095
183,Drama,74.7735099338,30293.3444444
184,Drama,74.866572238,16501.7928571
185,Drama,76.1165525114,144729.030769
186,Family,33.7520225776,5142.67142857
187,Family,34.9158898305,1042.54
188,Family,35.5807135969,3165.96
189,Family,41.2365924492,96588.0
190,Family,42.8927815207,693.1
191,Family,46.5324324324,256339.866667
192,Family,47.8371014493,7883.73333333
193,Family,49.3877294686,569.7
194,Family,49.6228764479,288.8
195,Family,54.8859073359,1167382.8
196,Family,55.1583572111,128.45
197,Family,58.5588732394,66528.62
198,Family,59.5156787763,
199,Family,62.9375838926,122546.1
200,Family,63.6048262548,125762.842857
201,Family,68.8692380952,1020.0
202,Family,69.5371428571,106726.175
203,Family,72.0241578441,18983.2875
204,Family,72.4614793468,6453.8
205,Family,74.1365555556,812.5
206,Family,74.7735099338,
207,Family,74.866572238,47120.1
208,Family,76.1165525114,1088.0
209,Fantasy,33.7520225776,205.875
210,Fantasy,34.9158898305,140.0
211,Fantasy,35.5807135969,877.7
212,Fantasy,41.2365924492,170094.65
213,Fantasy,42.8927815207,1273743.375
214,Fantasy,46.5324324324,377382.1
215,Fantasy,47.8371014493,782.1
216,Fantasy,49.3877294686,1258.83333333
217,Fantasy,49.6228764479,174300.5
218,Fantasy,54.8859073359,
219,Fantasy,55.1583572111,458.8
220,Fantasy,58.5588732394,155464.666667
221,Fantasy,59.5156787763,
222,Fantasy,62.9375838926,122452.65
223,Fantasy,63.6048262548,
224,Fantasy,68.8692380952,49231.4
225,Fantasy,69.5371428571,4943.6
226,Fantasy,72.0241578441,640.425
227,Fantasy,72.4614793468,2392.6
228,Fantasy,74.1365555556,2659.65
229,Fantasy,74.7735099338,1883.9
230,Fantasy,74.866572238,1661338.8
231,Fantasy,76.1165525114,299438.5
232,Game-Show,33.7520225776,525.6
233,Game-Show,34.9158898305,132.0
234,Game-Show,41.2365924492,
235,Game-Show,47.8371014493,
236,Game-Show,59.5156787763,28.2
237,Game-Show,63.6048262548,636.0
238,Game-Show,69.5371428571,
239,Game-Show,74.866572238,
240,History,33.7520225776,737.55
241,History,34.9158898305,1828.66666667
242,History,35.5807135969,6884.5
243,History,41.2365924492,63006.2
244,History,42.8927815207,
245,History,46.5324324324,3917.98
246,History,47.8371014493,3815.15
247,History,49.3877294686,2591.175
248,History,49.6228764479,
249,History,54.8859073359,23934.3
250,History,55.1583572111,4588.1625
251,History,58.5588732394,1053.975
252,History,59.5156787763,16508.4
253,History,62.9375838926,13375.9
254,History,63.6048262548,1446.0
255,History,68.8692380952,2795.0
256,History,69.5371428571,365.0
257,History,72.0241578441,6807.9
258,History,72.4614793468,6083.1
259,History,74.1365555556,37228.85
260,History,74.7735099338,28621.6
261,History,74.866572238,
262,History,76.1165525114,412.5
263,Horror,33.7520225776,4022.42857143
264,Horror,34.9158898305,23798.42
265,Horror,35.5807135969,63966.85
266,Horror,41.2365924492,
267,Horror,42.8927815207,71994.5333333
268,Horror,46.5324324324,19138.34
269,Horror,47.8371014493,164.0
270,Horror,49.3877294686,110307.52
271,Horror,49.6228764479,1886.8
