,Released,imdbID,Released_DateTime,Released_Year,Released_Month
102,31 Oct 2002,tt0299547,2002-10-31,2002.0,10.0
103,16 Oct 2001,tt0299867,2001-10-16,2001.0,10.0
104,02 Mar 2001,tt0300405,2001-03-02,2001.0,3.0
105,08 Dec 2001,tt0300704,2001-12-08,2001.0,12.0
106,07 Nov 2001,tt0300711,2001-11-07,2001.0,11.0
107,,tt0300713,,,
108,12 Nov 2001,tt0300725,2001-11-12,2001.0,11.0
109,,tt0300727,,,
110,23 Jan 2003,tt0301157,2003-01-23,2003.0,1.0
111,09 Dec 2001,tt0301246,2001-12-09,2001.0,12.0
112,03 Sep 2001,tt0302066,2001-09-03,2001.0,9.0
113,07 Jan 2002,tt0303418,2002-01-07,2002.0,1.0
114,15 Sep 2001,tt0303419,2001-09-15,2001.0,9.0
115,,tt0303420,,,
116,18 Mar 2002,tt0303421,2002-03-18,2002.0,3.0
117,25 Apr 2001,tt0303430,2001-04-25,2001.0,4.0
118,23 Jan 2002,tt0303635,2002-01-23,2002.0,1.0
119,12 Dec 2001,tt0303881,2001-12-12,2001.0,12.0
120,04 Dec 2001,tt0304058,2001-12-04,2001.0,12.0
121,,tt0304649,,,
122,,tt0305176,,,
123,25 Dec 2001,tt0305963,2001-12-25,2001.0,12.0
124,28 Sep 2004,tt0306021,2004-09-28,2004.0,9.0
125,,tt0306272,,,
126,08 Mar 2002,tt0306273,2002-03-08,2002.0,3.0
127,01 Nov 2001,tt0306276,2001-11-01,2001.0,11.0
128,08 Jan 2002,tt0306306,2002-01-08,2002.0,1.0
129,22 Dec 2001,tt0306851,2001-12-22,2001.0,12.0
130,30 Apr 2002,tt0307180,2002-04-30,2002.0,4.0
131,01 Jan 2002,tt0307707,2002-01-01,2002.0,1.0
132,21 Jan 2002,tt0307714,2002-01-21,2002.0,1.0
133,,tt0307715,,,
134,19 Mar 2002,tt0307716,2002-03-19,2002.0,3.0
135,12 Feb 2002,tt0307734,2002-02-12,2002.0,2.0
136,01 Sep 2002,tt0307752,2002-09-01,2002.0,9.0
137,07 Jan 2001,tt0308236,2001-01-07,2001.0,1.0
138,06 Feb 2002,tt0309122,2002-02-06,2002.0,2.0
139,04 Sep 2002,tt0309125,2002-09-04,2002.0,9.0
140,29 Jan 2002,tt0309130,2002-01-29,2002.0,1.0
141,01 Mar 2002,tt0310410,2002-03-01,2002.0,3.0
142,22 Feb 2002,tt0310411,2002-02-22,2002.0,2.0
143,19 Feb 2002,tt0310413,2002-02-19,2002.0,2.0
144,13 Feb 2002,tt0310416,2002-02-13,2002.0,2.0
145,,tt0310594,,,
146,10 Oct 2001,tt0311087,2001-10-10,2001.0,10.0
147,03 Mar 2002,tt0312087,2002-03-03,2002.0,3.0
148,,tt0312338,,,
149,01 Mar 2002,tt0312662,2002-03-01,2002.0,3.0
150,01 Sep 2001,tt0313025,2001-09-01,2001.0,9.0
151,05 Mar 2002,tt0313034,2002-03-05,2002.0,3.0
152,25 Mar 2002,tt0313038,2002-03-25,2002.0,3.0
153,25 Mar 2002,tt0313062,2002-03-25,2002.0,3.0
154,,tt0313871,,,
155,01 Feb 2002,tt0314943,2002-02-01,2002.0,2.0
156,19 Nov 2001,tt0314971,2001-11-19,2001.0,11.0
157,29 Mar 2002,tt0314972,2002-03-29,2002.0,3.0
158,29 Jun 2001,tt0314973,2001-06-29,2001.0,6.0
159,,tt0314976,,,
160,,tt0315645,,,
161,14 Mar 2002,tt0315646,2002-03-14,2002.0,3.0
162,,tt0315722,,,
163,,tt0316110,,,
164,,tt0316602,,,
165,16 Apr 2002,tt0316965,2002-04-16,2002.0,4.0
166,24 Oct 2002,tt0317842,2002-10-24,2002.0,10.0
167,07 Jun 2002,tt0318038,2002-06-07,2002.0,6.0
168,,tt0318204,,,
169,,tt0318222,,,
170,02 Jan 2002,tt0318565,2002-01-02,2002.0,1.0
171,,tt0318859,,,
172,20 May 2001,tt0318862,2001-05-20,2001.0,5.0
173,20 Jan 2001,tt0318868,2001-01-20,2001.0,1.0
