,YearMonth,Name,State,AvgTemp
139,201608.0,GATESVILLE,TX,M
140,201609.0,GATESVILLE,TX,M
141,201610.0,GATESVILLE,TX,M
142,201611.0,GATESVILLE,TX,M
143,201612.0,GATESVILLE,TX,M
144,201501.0,OCEANSIDE,CA,M
145,201502.0,OCEANSIDE,CA,59.7
146,201503.0,OCEANSIDE,CA,M
147,201504.0,OCEANSIDE,CA,M
148,201505.0,OCEANSIDE,CA,62.3
149,201506.0,OCEANSIDE,CA,66.8
150,201507.0,OCEANSIDE,CA,M
151,201508.0,OCEANSIDE,CA,M
152,201509.0,OCEANSIDE,CA,M
153,201510.0,OCEANSIDE,CA,M
154,201511.0,OCEANSIDE,CA,M
155,201512.0,OCEANSIDE,CA,M
156,201601.0,OCEANSIDE,CA,M
157,201602.0,OCEANSIDE,CA,M
158,201603.0,OCEANSIDE,CA,M
159,201604.0,OCEANSIDE,CA,M
160,201605.0,OCEANSIDE,CA,M
161,201606.0,OCEANSIDE,CA,M
162,201607.0,OCEANSIDE,CA,71.7
163,201608.0,OCEANSIDE,CA,M
164,201609.0,OCEANSIDE,CA,M
165,201610.0,OCEANSIDE,CA,M
166,201611.0,OCEANSIDE,CA,M
167,201612.0,OCEANSIDE,CA,M
168,201501.0,ARKADELPHIA,AR,M
169,201502.0,ARKADELPHIA,AR,M
170,201503.0,ARKADELPHIA,AR,M
171,201504.0,ARKADELPHIA,AR,M
172,201505.0,ARKADELPHIA,AR,M
173,201506.0,ARKADELPHIA,AR,M
174,201507.0,ARKADELPHIA,AR,M
175,201508.0,ARKADELPHIA,AR,M
176,201509.0,ARKADELPHIA,AR,M
177,201510.0,ARKADELPHIA,AR,M
178,201511.0,ARKADELPHIA,AR,M
179,201512.0,ARKADELPHIA,AR,M
180,201601.0,ARKADELPHIA,AR,M
181,201602.0,ARKADELPHIA,AR,M
182,201603.0,ARKADELPHIA,AR,M
183,201604.0,ARKADELPHIA,AR,M
184,201605.0,ARKADELPHIA,AR,M
185,201606.0,ARKADELPHIA,AR,M
186,201607.0,ARKADELPHIA,AR,M
187,201608.0,ARKADELPHIA,AR,M
188,201609.0,ARKADELPHIA,AR,M
189,201610.0,ARKADELPHIA,AR,M
190,201611.0,ARKADELPHIA,AR,M
191,201612.0,ARKADELPHIA,AR,M
192,201501.0,LAMAR,CO,32.3
193,201502.0,LAMAR,CO,34.6
194,201503.0,LAMAR,CO,46.3
195,201504.0,LAMAR,CO,54.6
196,201505.0,LAMAR,CO,59.4
197,201506.0,LAMAR,CO,74.7
198,201507.0,LAMAR,CO,78.0
199,201508.0,LAMAR,CO,76.8
200,201509.0,LAMAR,CO,72.7
201,201510.0,LAMAR,CO,58.3
202,201511.0,LAMAR,CO,41.0
203,201512.0,LAMAR,CO,34.2
204,201601.0,LAMAR,CO,32.9
205,201602.0,LAMAR,CO,39.8
206,201603.0,LAMAR,CO,45.9
207,201604.0,LAMAR,CO,52.6
208,201605.0,LAMAR,CO,59.8
209,201606.0,LAMAR,CO,76.1
210,201607.0,LAMAR,CO,79.8
211,201608.0,LAMAR,CO,71.8
212,201609.0,LAMAR,CO,69.7
213,201610.0,LAMAR,CO,59.5
214,201611.0,LAMAR,CO,43.0
215,201612.0,LAMAR,CO,M
216,201501.0,RIFLE,CO,M
217,201502.0,RIFLE,CO,36.6
218,201503.0,RIFLE,CO,M
219,201504.0,RIFLE,CO,M
220,201505.0,RIFLE,CO,M
221,201506.0,RIFLE,CO,M
222,201507.0,RIFLE,CO,71.2
223,201508.0,RIFLE,CO,M
224,201509.0,RIFLE,CO,65.1
225,201510.0,RIFLE,CO,55.0
226,201511.0,RIFLE,CO,M
227,201512.0,RIFLE,CO,M
228,201601.0,RIFLE,CO,M
229,201602.0,RIFLE,CO,M
230,201603.0,RIFLE,CO,M
231,201604.0,RIFLE,CO,M
232,201605.0,RIFLE,CO,M
233,201606.0,RIFLE,CO,M
234,201607.0,RIFLE,CO,M
235,201608.0,RIFLE,CO,69.8
236,201609.0,RIFLE,CO,M
237,201610.0,RIFLE,CO,M
238,201611.0,RIFLE,CO,M
239,201612.0,RIFLE,CO,M
240,201501.0,DENVER,CO,33.9
241,201502.0,DENVER,CO,33.8
242,201503.0,DENVER,CO,45.1
243,201504.0,DENVER,CO,48.7
244,201505.0,DENVER,CO,53.0
245,201506.0,DENVER,CO,69.5
246,201507.0,DENVER,CO,72.8
247,201508.0,DENVER,CO,74.1
248,201509.0,DENVER,CO,69.4
249,201510.0,DENVER,CO,56.5
250,201511.0,DENVER,CO,38.5
251,201512.0,DENVER,CO,29.4
252,201601.0,DENVER,CO,31.8
253,201602.0,DENVER,CO,37.8
254,201603.0,DENVER,CO,41.6
255,201604.0,DENVER,CO,47.3
256,201605.0,DENVER,CO,54.7
257,201606.0,DENVER,CO,70.9
258,201607.0,DENVER,CO,76.3
259,201608.0,DENVER,CO,71.2
260,201609.0,DENVER,CO,66.0
261,201610.0,DENVER,CO,57.9
262,201611.0,DENVER,CO,45.2
263,201612.0,DENVER,CO,M
264,201501.0,BORGER,TX,38.8
265,201502.0,BORGER,TX,41.5
266,201503.0,BORGER,TX,53.5
267,201504.0,BORGER,TX,61.7
268,201505.0,BORGER,TX,64.4
269,201506.0,BORGER,TX,78.7
270,201507.0,BORGER,TX,81.1
271,201508.0,BORGER,TX,79.5
272,201509.0,BORGER,TX,77.6
273,201510.0,BORGER,TX,63.1
274,201511.0,BORGER,TX,49.9
275,201512.0,BORGER,TX,42.9
276,201601.0,BORGER,TX,40.2
277,201602.0,BORGER,TX,48.4
278,201603.0,BORGER,TX,60.4
279,201604.0,BORGER,TX,60.1
280,201605.0,BORGER,TX,65.9
281,201606.0,BORGER,TX,79.9
282,201607.0,BORGER,TX,85.2
283,201608.0,BORGER,TX,79.1
284,201609.0,BORGER,TX,74.3
285,201610.0,BORGER,TX,68.5
286,201611.0,BORGER,TX,54.2
287,201612.0,BORGER,TX,M
288,201501.0,BURLINGTON,CO,31.6
289,201502.0,BURLINGTON,CO,32.8
290,201503.0,BURLINGTON,CO,45.4
291,201504.0,BURLINGTON,CO,51.8
292,201505.0,BURLINGTON,CO,56.4
293,201506.0,BURLINGTON,CO,71.8
294,201507.0,BURLINGTON,CO,74.9
295,201508.0,BURLINGTON,CO,73.5
296,201509.0,BURLINGTON,CO,69.5
297,201510.0,BURLINGTON,CO,56.1
298,201511.0,BURLINGTON,CO,39.8
299,201512.0,BURLINGTON,CO,32.6
300,201601.0,BURLINGTON,CO,32.1
301,201602.0,BURLINGTON,CO,36.6
302,201603.0,BURLINGTON,CO,44.1
303,201604.0,BURLINGTON,CO,49.3
304,201605.0,BURLINGTON,CO,57.4
305,201606.0,BURLINGTON,CO,74.1
306,201607.0,BURLINGTON,CO,76.8
307,201608.0,BURLINGTON,CO,71.8
308,201609.0,BURLINGTON,CO,66.5
309,201610.0,BURLINGTON,CO,58.9
310,201611.0,BURLINGTON,CO,M
311,201612.0,BURLINGTON,CO,M
312,201501.0,CLINES CORNERS,NM,31.4
313,201502.0,CLINES CORNERS,NM,37.0
314,201503.0,CLINES CORNERS,NM,45.9
315,201504.0,CLINES CORNERS,NM,48.9
316,201505.0,CLINES CORNERS,NM,54.4
317,201506.0,CLINES CORNERS,NM,68.6
318,201507.0,CLINES CORNERS,NM,68.9
319,201508.0,CLINES CORNERS,NM,69.7
320,201509.0,CLINES CORNERS,NM,65.6
321,201510.0,CLINES CORNERS,NM,52.6
322,201511.0,CLINES CORNERS,NM,38.7
323,201512.0,CLINES CORNERS,NM,30.7
324,201601.0,CLINES CORNERS,NM,27.2
325,201602.0,CLINES CORNERS,NM,38.3
326,201603.0,CLINES CORNERS,NM,43.9
327,201604.0,CLINES CORNERS,NM,47.8
328,201605.0,CLINES CORNERS,NM,54.4
329,201606.0,CLINES CORNERS,NM,68.3
330,201607.0,CLINES CORNERS,NM,72.9
331,201608.0,CLINES CORNERS,NM,65.3
332,201609.0,CLINES CORNERS,NM,63.0
333,201610.0,CLINES CORNERS,NM,56.2
334,201611.0,CLINES CORNERS,NM,41.9
335,201612.0,CLINES CORNERS,NM,M
336,201501.0,SPRINGFIELD,CO,34.4
337,201502.0,SPRINGFIELD,CO,34.8
338,201503.0,SPRINGFIELD,CO,45.2
339,201504.0,SPRINGFIELD,CO,52.0
340,201505.0,SPRINGFIELD,CO,57.2
341,201506.0,SPRINGFIELD,CO,73.0
342,201507.0,SPRINGFIELD,CO,75.5
343,201508.0,SPRINGFIELD,CO,75.3
344,201509.0,SPRINGFIELD,CO,71.1
345,201510.0,SPRINGFIELD,CO,57.4
346,201511.0,SPRINGFIELD,CO,39.9
347,201512.0,SPRINGFIELD,CO,33.4
348,201601.0,SPRINGFIELD,CO,33.5
349,201602.0,SPRINGFIELD,CO,39.8
350,201603.0,SPRINGFIELD,CO,43.9
351,201604.0,SPRINGFIELD,CO,50.7
352,201605.0,SPRINGFIELD,CO,57.6
353,201606.0,SPRINGFIELD,CO,73.1
354,201607.0,SPRINGFIELD,CO,78.0
355,201608.0,SPRINGFIELD,CO,70.8
356,201609.0,SPRINGFIELD,CO,67.0
357,201610.0,SPRINGFIELD,CO,60.2
358,201611.0,SPRINGFIELD,CO,45.3
359,201612.0,SPRINGFIELD,CO,M
360,201501.0,WINDOW ROCK,AZ,34.6
361,201502.0,WINDOW ROCK,AZ,39.5
362,201503.0,WINDOW ROCK,AZ,44.8
363,201504.0,WINDOW ROCK,AZ,47.1
364,201505.0,WINDOW ROCK,AZ,52.4
365,201506.0,WINDOW ROCK,AZ,66.4
366,201507.0,WINDOW ROCK,AZ,68.9
367,201508.0,WINDOW ROCK,AZ,69.7
368,201509.0,WINDOW ROCK,AZ,63.7
369,201510.0,WINDOW ROCK,AZ,53.3
370,201511.0,WINDOW ROCK,AZ,37.8
371,201512.0,WINDOW ROCK,AZ,28.6
372,201601.0,WINDOW ROCK,AZ,29.9
373,201602.0,WINDOW ROCK,AZ,37.5
374,201603.0,WINDOW ROCK,AZ,42.2
375,201604.0,WINDOW ROCK,AZ,46.5
376,201605.0,WINDOW ROCK,AZ,54.3
377,201606.0,WINDOW ROCK,AZ,69.6
378,201607.0,WINDOW ROCK,AZ,73.2
379,201608.0,WINDOW ROCK,AZ,65.9
380,201609.0,WINDOW ROCK,AZ,60.3
381,201610.0,WINDOW ROCK,AZ,54.0
382,201611.0,WINDOW ROCK,AZ,38.4
383,201612.0,WINDOW ROCK,AZ,M
384,201501.0,GUYMON,OK,37.2
385,201502.0,GUYMON,OK,38.6
386,201503.0,GUYMON,OK,50.2
387,201504.0,GUYMON,OK,58.2
388,201505.0,GUYMON,OK,62.6
389,201506.0,GUYMON,OK,77.4
390,201507.0,GUYMON,OK,80.1
391,201508.0,GUYMON,OK,77.1
392,201509.0,GUYMON,OK,75.3
393,201510.0,GUYMON,OK,61.2
394,201511.0,GUYMON,OK,46.2
395,201512.0,GUYMON,OK,38.8
396,201601.0,GUYMON,OK,36.4
397,201602.0,GUYMON,OK,45.4
398,201603.0,GUYMON,OK,50.6
399,201604.0,GUYMON,OK,57.2
400,201605.0,GUYMON,OK,62.7
401,201606.0,GUYMON,OK,78.2
402,201607.0,GUYMON,OK,82.9
403,201608.0,GUYMON,OK,77.2
404,201609.0,GUYMON,OK,73.0
405,201610.0,GUYMON,OK,64.3
406,201611.0,GUYMON,OK,50.6
407,201612.0,GUYMON,OK,M
408,201501.0,ODESSA,TX,41.7
409,201502.0,ODESSA,TX,46.6
410,201503.0,ODESSA,TX,54.6
411,201504.0,ODESSA,TX,66.0
412,201505.0,ODESSA,TX,71.7
413,201506.0,ODESSA,TX,80.0
414,201507.0,ODESSA,TX,85.3
415,201508.0,ODESSA,TX,84.8
416,201509.0,ODESSA,TX,80.1
417,201510.0,ODESSA,TX,68.1
418,201511.0,ODESSA,TX,55.3
419,201512.0,ODESSA,TX,48.5
420,201601.0,ODESSA,TX,46.1
421,201602.0,ODESSA,TX,53.5
422,201603.0,ODESSA,TX,61.4
423,201604.0,ODESSA,TX,67.3
424,201605.0,ODESSA,TX,73.7
425,201606.0,ODESSA,TX,81.0
426,201607.0,ODESSA,TX,88.2
427,201608.0,ODESSA,TX,81.7
428,201609.0,ODESSA,TX,76.2
429,201610.0,ODESSA,TX,72.5
430,201611.0,ODESSA,TX,58.6
431,201612.0,ODESSA,TX,M
432,201501.0,DRYDEN,TX,48.1
433,201502.0,DRYDEN,TX,53.0
434,201503.0,DRYDEN,TX,60.6
435,201504.0,DRYDEN,TX,70.3
436,201505.0,DRYDEN,TX,76.9
437,201506.0,DRYDEN,TX,81.6
438,201507.0,DRYDEN,TX,85.6
439,201508.0,DRYDEN,TX,87.7
440,201509.0,DRYDEN,TX,84.4
441,201510.0,DRYDEN,TX,74.0
442,201511.0,DRYDEN,TX,60.0
443,201512.0,DRYDEN,TX,55.2
444,201601.0,DRYDEN,TX,50.1
445,201602.0,DRYDEN,TX,58.1
446,201603.0,DRYDEN,TX,65.2
447,201604.0,DRYDEN,TX,71.0
448,201605.0,DRYDEN,TX,76.0
449,201606.0,DRYDEN,TX,82.4
450,201607.0,DRYDEN,TX,87.6
451,201608.0,DRYDEN,TX,83.1
452,201609.0,DRYDEN,TX,77.7
453,201610.0,DRYDEN,TX,72.5
454,201611.0,DRYDEN,TX,61.7
455,201612.0,DRYDEN,TX,M
456,201501.0,ARTESIA,NM,M
457,201502.0,ARTESIA,NM,M
458,201503.0,ARTESIA,NM,M
459,201504.0,ARTESIA,NM,M
460,201505.0,ARTESIA,NM,M
461,201506.0,ARTESIA,NM,M
462,201507.0,ARTESIA,NM,M
463,201508.0,ARTESIA,NM,M
464,201509.0,ARTESIA,NM,M
465,201510.0,ARTESIA,NM,M
466,201511.0,ARTESIA,NM,M
467,201512.0,ARTESIA,NM,M
468,201601.0,ARTESIA,NM,M
469,201602.0,ARTESIA,NM,M
470,201603.0,ARTESIA,NM,M
471,201604.0,ARTESIA,NM,M
472,201605.0,ARTESIA,NM,M
473,201606.0,ARTESIA,NM,M
474,201607.0,ARTESIA,NM,M
475,201608.0,ARTESIA,NM,M
476,201609.0,ARTESIA,NM,M
477,201610.0,ARTESIA,NM,M
478,201611.0,ARTESIA,NM,M
479,201612.0,ARTESIA,NM,M
480,201501.0,BIG SPRING,TX,M
481,201502.0,BIG SPRING,TX,M
482,201503.0,BIG SPRING,TX,M
483,201504.0,BIG SPRING,TX,M
484,201505.0,BIG SPRING,TX,M
485,201506.0,BIG SPRING,TX,M
486,201507.0,BIG SPRING,TX,M
487,201508.0,BIG SPRING,TX,M
488,201509.0,BIG SPRING,TX,M
489,201510.0,BIG SPRING,TX,M
490,201511.0,BIG SPRING,TX,M
491,201512.0,BIG SPRING,TX,M
492,201601.0,BIG SPRING,TX,M
493,201602.0,BIG SPRING,TX,M
494,201603.0,BIG SPRING,TX,M
495,201604.0,BIG SPRING,TX,M
496,201605.0,BIG SPRING,TX,M
497,201606.0,BIG SPRING,TX,M
498,201607.0,BIG SPRING,TX,M
499,201608.0,BIG SPRING,TX,M
500,201609.0,BIG SPRING,TX,M
501,201610.0,BIG SPRING,TX,M
502,201611.0,BIG SPRING,TX,M
503,201612.0,BIG SPRING,TX,M
504,201501.0,MONAHANS,TX,41.8
505,201502.0,MONAHANS,TX,47.8
506,201503.0,MONAHANS,TX,56.1
507,201504.0,MONAHANS,TX,65.9
508,201505.0,MONAHANS,TX,71.7
509,201506.0,MONAHANS,TX,78.8
510,201507.0,MONAHANS,TX,85.3
511,201508.0,MONAHANS,TX,M
512,201509.0,MONAHANS,TX,79.2
513,201510.0,MONAHANS,TX,68.1
514,201511.0,MONAHANS,TX,55.1
515,201512.0,MONAHANS,TX,48.5
516,201601.0,MONAHANS,TX,46.2
517,201602.0,MONAHANS,TX,53.2
518,201603.0,MONAHANS,TX,61.1
519,201604.0,MONAHANS,TX,66.7
520,201605.0,MONAHANS,TX,M
521,201606.0,MONAHANS,TX,80.5
522,201607.0,MONAHANS,TX,M
523,201608.0,MONAHANS,TX,80.9
524,201609.0,MONAHANS,TX,76.1
525,201610.0,MONAHANS,TX,71.5
526,201611.0,MONAHANS,TX,58.1
527,201612.0,MONAHANS,TX,M
528,201501.0,SOCORRO,NM,34.9
529,201502.0,SOCORRO,NM,43.6
530,201503.0,SOCORRO,NM,52.1
531,201504.0,SOCORRO,NM,57.5
532,201505.0,SOCORRO,NM,63.4
533,201506.0,SOCORRO,NM,78.1
534,201507.0,SOCORRO,NM,77.4
535,201508.0,SOCORRO,NM,M
536,201509.0,SOCORRO,NM,74.2
537,201510.0,SOCORRO,NM,60.9
538,201511.0,SOCORRO,NM,45.2
539,201512.0,SOCORRO,NM,36.1
540,201601.0,SOCORRO,NM,36.5
541,201602.0,SOCORRO,NM,43.2
542,201603.0,SOCORRO,NM,52.8
543,201604.0,SOCORRO,NM,57.1
544,201605.0,SOCORRO,NM,M
545,201606.0,SOCORRO,NM,78.9
546,201607.0,SOCORRO,NM,M
547,201608.0,SOCORRO,NM,74.5
548,201609.0,SOCORRO,NM,71.0
549,201610.0,SOCORRO,NM,63.2
550,201611.0,SOCORRO,NM,48.6
551,201612.0,SOCORRO,NM,M
552,201501.0,ALPINE,TX,M
553,201502.0,ALPINE,TX,M
554,201503.0,ALPINE,TX,M
555,201504.0,ALPINE,TX,M
556,201505.0,ALPINE,TX,M
557,201506.0,ALPINE,TX,M
558,201507.0,ALPINE,TX,M
559,201508.0,ALPINE,TX,M
560,201509.0,ALPINE,TX,M
561,201510.0,ALPINE,TX,M
562,201511.0,ALPINE,TX,M
563,201512.0,ALPINE,TX,M
564,201601.0,ALPINE,TX,M
565,201602.0,ALPINE,TX,M
566,201603.0,ALPINE,TX,M
567,201604.0,ALPINE,TX,M
568,201605.0,ALPINE,TX,M
569,201606.0,ALPINE,TX,M
570,201607.0,ALPINE,TX,M
571,201608.0,ALPINE,TX,M
572,201609.0,ALPINE,TX,M
573,201610.0,ALPINE,TX,M
574,201611.0,ALPINE,TX,M
575,201612.0,ALPINE,TX,M
576,201501.0,SNYDER,TX,M
577,201502.0,SNYDER,TX,M
578,201503.0,SNYDER,TX,M
579,201504.0,SNYDER,TX,M
580,201505.0,SNYDER,TX,M
581,201506.0,SNYDER,TX,M
582,201507.0,SNYDER,TX,M
583,201508.0,SNYDER,TX,M
584,201509.0,SNYDER,TX,M
585,201510.0,SNYDER,TX,M
586,201511.0,SNYDER,TX,M
587,201512.0,SNYDER,TX,M
588,201601.0,SNYDER,TX,M
589,201602.0,SNYDER,TX,M
590,201603.0,SNYDER,TX,M
591,201604.0,SNYDER,TX,M
592,201605.0,SNYDER,TX,M
593,201606.0,SNYDER,TX,M
594,201607.0,SNYDER,TX,M
595,201608.0,SNYDER,TX,M
596,201609.0,SNYDER,TX,M
597,201610.0,SNYDER,TX,M
598,201611.0,SNYDER,TX,M
599,201612.0,SNYDER,TX,M
600,201501.0,MULESHOE,TX,36.6
601,201502.0,MULESHOE,TX,41.8
602,201503.0,MULESHOE,TX,49.4
603,201504.0,MULESHOE,TX,57.1
604,201505.0,MULESHOE,TX,62.1
605,201506.0,MULESHOE,TX,73.9
606,201507.0,MULESHOE,TX,77.5
607,201508.0,MULESHOE,TX,M
608,201509.0,MULESHOE,TX,73.8
609,201510.0,MULESHOE,TX,60.6
610,201511.0,MULESHOE,TX,46.5
611,201512.0,MULESHOE,TX,40.8
612,201601.0,MULESHOE,TX,39.2
613,201602.0,MULESHOE,TX,44.7
614,201603.0,MULESHOE,TX,52.1
615,201604.0,MULESHOE,TX,57.0
616,201605.0,MULESHOE,TX,M
617,201606.0,MULESHOE,TX,74.3
618,201607.0,MULESHOE,TX,M
619,201608.0,MULESHOE,TX,74.6
620,201609.0,MULESHOE,TX,69.4
621,201610.0,MULESHOE,TX,62.2
622,201611.0,MULESHOE,TX,50.2
623,201612.0,MULESHOE,TX,M
624,201501.0,GOODWELL,OK,35.5
625,201502.0,GOODWELL,OK,37.3
626,201503.0,GOODWELL,OK,48.7
627,201504.0,GOODWELL,OK,57.1
628,201505.0,GOODWELL,OK,60.9
629,201506.0,GOODWELL,OK,76.3
630,201507.0,GOODWELL,OK,79.6
631,201508.0,GOODWELL,OK,M
632,201509.0,GOODWELL,OK,74.3
633,201510.0,GOODWELL,OK,60.0
634,201511.0,GOODWELL,OK,45.0
635,201512.0,GOODWELL,OK,37.6
636,201601.0,GOODWELL,OK,35.4
637,201602.0,GOODWELL,OK,43.8
638,201603.0,GOODWELL,OK,49.2
639,201604.0,GOODWELL,OK,55.7
640,201605.0,GOODWELL,OK,M
641,201606.0,GOODWELL,OK,77.3
642,201607.0,GOODWELL,OK,M
643,201608.0,GOODWELL,OK,75.8
644,201609.0,GOODWELL,OK,72.1
645,201610.0,GOODWELL,OK,63.6
646,201611.0,GOODWELL,OK,49.4
647,201612.0,GOODWELL,OK,M
648,201501.0,SEMINOLE,TX,M
649,201502.0,SEMINOLE,TX,M
650,201503.0,SEMINOLE,TX,M
651,201504.0,SEMINOLE,TX,M
652,201505.0,SEMINOLE,TX,M
653,201506.0,SEMINOLE,TX,M
654,201507.0,SEMINOLE,TX,M
655,201508.0,SEMINOLE,TX,M
656,201509.0,SEMINOLE,TX,M
657,201510.0,SEMINOLE,TX,M
658,201511.0,SEMINOLE,TX,M
659,201512.0,SEMINOLE,TX,M
660,201601.0,SEMINOLE,TX,M
661,201602.0,SEMINOLE,TX,M
662,201603.0,SEMINOLE,TX,M
663,201604.0,SEMINOLE,TX,M
664,201605.0,SEMINOLE,TX,M
665,201606.0,SEMINOLE,TX,M
666,201607.0,SEMINOLE,TX,M
667,201608.0,SEMINOLE,TX,M
668,201609.0,SEMINOLE,TX,M
669,201610.0,SEMINOLE,TX,M
670,201611.0,SEMINOLE,TX,M
671,201612.0,SEMINOLE,TX,M
672,201501.0,PECOS,TX,M
673,201502.0,PECOS,TX,M
674,201503.0,PECOS,TX,M
675,201504.0,PECOS,TX,M
676,201505.0,PECOS,TX,M
677,201506.0,PECOS,TX,M
678,201507.0,PECOS,TX,M
679,201508.0,PECOS,TX,M
680,201509.0,PECOS,TX,M
681,201510.0,PECOS,TX,M
682,201511.0,PECOS,TX,M
683,201512.0,PECOS,TX,M
684,201601.0,PECOS,TX,M
