,imdbID,Language,Genre,Awards,Awards_won,Awards_nominated,Prime_Awards_nominated,Oscar_Awards_nominated,Golden_Globe_Awards_nominated,BAFTA_Awards_nominated,Other_Awards,Prime_Awards_won,Oscar_Awards_won,Golden_Globe_Awards_won,BAFTA_Awards_won
1542,tt3087864,English,Sci-Fi,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1543,tt3132100,Spanish,Drama,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1544,tt3132632,English,Documentary; Comedy,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1545,tt3139482,English,Comedy; Drama; Horror,3 wins & 4 nominations.,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546,tt3148266,English,Adventure; Drama; Mystery,2 wins & 2 nominations.,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1547,tt3148552,English,Action; Mystery; Thriller,4 wins.,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548,tt3169770,,Thriller,8 wins & 22 nominations.,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1549,tt3180912,English,Comedy; Drama,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1550,tt3185602,English; Mandarin; Cantonese,Comedy; Drama; Romance,1 win & 1 nomination.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1551,tt3215364,English,Comedy; Crime; Drama,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1552,tt3219554,Hindi,Thriller,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1553,tt3230454,English,Action; Comedy; Drama,Nominated for 5 Primetime Emmys. Another 12 nominations.,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1554,tt3257638,German; English; Dutch,Drama,1 win & 4 nominations.,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1555,tt3262990,English,Drama,2 nominations.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1556,tt3315386,English,Drama; History,Nominated for 7 Primetime Emmys. Another 1 win & 26 nominations.,1.0,33.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1557,tt3322312,English,Action; Crime; Drama,Nominated for 5 Primetime Emmys. Another 2 wins & 11 nominations.,2.0,16.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1558,tt3339966,English,Comedy; Drama,Nominated for 11 Primetime Emmys. Another 7 wins & 26 nominations.,7.0,37.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
1559,tt3355142,French,Drama,2 wins.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,tt3369624,English,Comedy; Horror; Musical,3 wins & 1 nomination.,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561,tt3369806,English,Adventure; Family,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1562,tt3385516,English; Polish; German; Arabic; Egyptian (Ancient),Action; Adventure; Sci-Fi,2 nominations.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1563,tt3395274,English,Drama,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1564,tt3395582,English,Drama; Mystery; Thriller,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1565,tt3416828,English,Animation; Adventure; Comedy,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1566,tt3442634,Finnish,Drama; Thriller,1 win & 1 nomination.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1567,tt3444616,English,Drama,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1568,tt3468798,English,Comedy; Drama,Won 1 Primetime Emmy. Another 1 nomination.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1569,tt3475734,English,Action; Adventure; Sci-Fi,11 nominations.,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570,tt3488298,English,Drama,Nominated for 3 Golden Globes. Another 9 wins & 50 nominations.,9.0,53.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0
1571,tt3498820,English; German; Xhosa; Russian; Romanian,Action; Adventure; Sci-Fi,2 wins & 7 nominations.,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1572,tt3499096,English; German,Biography; Drama; History,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1573,tt3508050,English,Drama; History,6 nominations.,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574,tt3518012,English,Documentary; History; News,5 wins & 26 nominations.,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1575,tt3520022,English,Biography; Drama; Romance,11 wins.,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576,tt3520702,English,Drama; Thriller,Nominated for 1 Golden Globe. Another 1 win & 10 nominations.,1.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1577,tt3554580,English; French; German; Italian; Portuguese; Spanish,Action; Adventure; Crime,2 wins & 5 nominations.,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1578,tt3567288,English,Horror; Thriller,1 win & 10 nominations.,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1579,tt3574152,English,Adventure; Crime; Drama,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580,tt3581932,English,Crime; Drama; Mystery,1 win & 1 nomination.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581,tt3591436,English,Comedy; Drama,4 wins & 1 nomination.,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1582,tt3596178,English,Comedy; Family,3 wins.,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1583,tt3598496,English,Drama; Western,Nominated for 3 Primetime Emmys. Another 2 wins & 7 nominations.,2.0,10.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1584,tt3630144,English,Short; Drama; Family,1 nomination.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1585,tt3631112,English,Drama; Mystery; Thriller,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1586,tt3642918,English,Short; Drama,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1587,tt3644258,English,Comedy; Crime; Drama,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1588,tt3674910,English,,Won 1 Primetime Emmy. Another 1 win & 13 nominations.,2.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1589,tt3677742,,Comedy,Won 4 Primetime Emmys. Another 1 win & 6 nominations.,5.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
1590,tt3688406,English,Fantasy; Horror; Mystery,5 wins & 1 nomination.,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1591,tt3698558,English,Horror,2 nominations.,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592,tt3699692,English,Comedy; Horror,1 win & 1 nomination.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1593,tt3704050,English; German,Drama; Thriller,3 wins & 19 nominations.,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594,tt3705412,English,Comedy; Horror,8 wins & 6 nominations.,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1595,tt3720724,Spanish,Comedy; Family; Romance,5 wins & 8 nominations.,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1596,tt3750942,English,Biography; Drama,1 win & 7 nominations.,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1597,tt3757982,English,Short; Action,1 win.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
